127.0.0.1 - - [04/Aug/2025:08:27:03 +0700] "GET /api/current HTTP/1.1" 200 485 "-" "curl/8.11.1"
127.0.0.1 - - [04/Aug/2025:08:28:50 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:28:50 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:28:50 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:28:50 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:10 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:10 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:10 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:10 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:14 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:28 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:29 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:33 +0700] "GET /api/parameters HTTP/1.1" 200 484 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:33 +0700] "GET /api/forecast/hourly HTTP/1.1" 404 59 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:33 +0700] "GET /api/data/metadata HTTP/1.1" 200 275 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:33 +0700] "GET /api/forecast/daily HTTP/1.1" 404 65 "-" "node"
127.0.0.1 - - [04/Aug/2025:08:30:37 +0700] "GET / HTTP/1.1" 200 654 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Aug/2025:08:30:38 +0700] "GET / HTTP/1.1" 200 654 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Aug/2025:08:30:42 +0700] "GET / HTTP/1.1" 200 654 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
